"Comment Number","User Name","Comment Text","Comment Status","Comment Assignee","Date Created","Canvas Version","Comment URL","Comment Labels","Comment Replies","Screenshot URL","Original URL","Metadata - Screen Size","Metadata - Browser","Metadata - OS"
"1","Ryan Riley","change this.  ","active","Ryan Riley","2026-05-04 12:00","Version 1","https://usepastel.com/link/okj0r6y3/comment/11518735/","","","https://user-assets.usepastel.com/screenshot/muN1koOZzkl3fI5H.jpg","https://formless-web.vercel.app/","1330 x 1048","Chrome 147.0.0.0","Mac OS 10.15.7"
"2","Soni Cottman","The Practice","active","","2026-05-09 21:22","Version 1","https://usepastel.com/link/okj0r6y3/comment/11562006/","","","https://user-assets.usepastel.com/screenshot/jsoSZVxcxjIxfTN2.jpg","https://formless-web.vercel.app/","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"3","Soni Cottman","Eyes Closed","active","","2026-05-09 21:22","Version 1","https://usepastel.com/link/okj0r6y3/comment/11562009/","","","https://user-assets.usepastel.com/screenshot/S1bQkjQ3714G3V2E.jpg","https://formless-web.vercel.app/","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"4","Soni Cottman","Formless ","active","","2026-05-09 21:23","Version 1","https://usepastel.com/link/okj0r6y3/comment/11562010/","","","https://user-assets.usepastel.com/screenshot/jxrWHWP4cu7F0A6K.jpg","https://formless-web.vercel.app/","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"5","Soni Cottman","The Science of Spirituality
OR
Spirituality & Science ","active","","2026-05-13 22:16","Version 1","https://usepastel.com/link/okj0r6y3/comment/11595639/","","","https://user-assets.usepastel.com/screenshot/rXsh7VuT7GK8r8sj.jpg","https://formless-web.vercel.app/","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"6","Soni Cottman","Maybe ""Connect""","active","","2026-05-13 22:16","Version 1","https://usepastel.com/link/okj0r6y3/comment/11595641/","","","https://user-assets.usepastel.com/screenshot/MuiLtVd4VTnFakqH.jpg","https://formless-web.vercel.app/","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"7","Soni Cottman","Remembering Who You Are Beyond The Mind","active","","2026-05-13 22:34","Version 1","https://usepastel.com/link/okj0r6y3/comment/11595717/","","","https://user-assets.usepastel.com/screenshot/UOuHrt78QwSUP6Ar.jpg","https://formless-web.vercel.app/","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"8","Soni Cottman","The world teaches you to look outward for fulfillment. Eyes Closed points you inward.","active","","2026-05-13 22:35","Version 1","https://usepastel.com/link/okj0r6y3/comment/11595722/","","","https://user-assets.usepastel.com/screenshot/mHtFuPARUQG3xzLG.jpg","https://formless-web.vercel.app/","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"9","Soni Cottman","Peace has never left you, it is your natural state.","active","","2026-05-13 22:39","Version 1","https://usepastel.com/link/okj0r6y3/comment/11595737/","","","https://user-assets.usepastel.com/screenshot/KifX0wxKtVOuk8Ci.jpg","https://formless-web.vercel.app/","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"10","Soni Cottman","A moment to go within
A moment to reflect?","active","","2026-05-13 22:41","Version 1","https://usepastel.com/link/okj0r6y3/comment/11595745/","","","https://user-assets.usepastel.com/screenshot/dyFMmBk6ARb3J1bp.jpg","https://formless-web.vercel.app/#reflection","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"11","Soni Cottman","The Mind
OR 
THOU GHTS
OR 
BEL IEFS","active","","2026-05-13 22:42","Version 1","https://usepastel.com/link/okj0r6y3/comment/11595751/","","","https://user-assets.usepastel.com/screenshot/wT4mbsiUF2b7oczc.jpg","https://formless-web.vercel.app/#reflection","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"12","Soni Cottman","Freedom begins the moment you separate yourself from your thoughts and simply observe the mind","active","","2026-05-13 22:46","Version 1","https://usepastel.com/link/okj0r6y3/comment/11595767/","","","https://user-assets.usepastel.com/screenshot/78MQZRJ3CabJw2IW.jpg","https://formless-web.vercel.app/#reflection","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"13","Soni Cottman","EYES CLOSED","active","","2026-05-13 22:47","Version 1","https://usepastel.com/link/okj0r6y3/comment/11595770/","","","https://user-assets.usepastel.com/screenshot/t9ft4f8GLMzSNRpj.jpg","https://formless-web.vercel.app/#reflection","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"14","Soni Cottman","An invitation to go within and meet yourself beyond the identities and stories

","active","","2026-05-13 22:51","Version 1","https://usepastel.com/link/okj0r6y3/comment/11595791/","","","https://user-assets.usepastel.com/screenshot/DoyPQSLwV4IQym1i.jpg","https://formless-web.vercel.app/#reflection","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
"15","Soni Cottman","Behind every thought is the awareness that sees it. That awareness is what you are, untouched, unharmed by any experience of life.","active","","2026-05-13 23:07","Version 1","https://usepastel.com/link/okj0r6y3/comment/11595858/","","","https://user-assets.usepastel.com/screenshot/eGBmsqOHTYiKQYUD.jpg","https://formless-web.vercel.app/#reflection","1358 x 808","Chrome 147.0.0.0","Mac OS 10.15.7"
